"Ix","Iz"
3.11e-08,-8.86e-07
3.16e-08,-8.89e-07
3.21e-08,-8.95e-07
3.26e-08,-8.94e-07
3.315e-08,-8.97e-07
3.37e-08,-9e-07
3.425e-08,-9.03e-07
3.48e-08,-9.06e-07
3.535e-08,-9.09e-07
3.595e-08,-9.13e-07
3.65e-08,-9.15e-07
3.71e-08,-9.18e-07
3.77e-08,-9.22e-07
3.835e-08,-9.26e-07
3.895e-08,-9.29e-07
3.96e-08,-9.33e-07
4.025e-08,-9.37e-07
4.09e-08,-9.4e-07
4.155e-08,-9.43e-07
4.225e-08,-9.46e-07
4.29e-08,-9.5e-07
4.36e-08,-9.53e-07
4.43e-08,-9.56e-07
4.505e-08,-9.6e-07
4.58e-08,-9.64e-07
4.65e-08,-9.68e-07
4.73e-08,-9.72e-07
4.805e-08,-9.76e-07
4.885e-08,-9.81e-07
4.96e-08,-9.84e-07
5.045e-08,-9.88e-07
5.125e-08,-9.93e-07
5.21e-08,-9.97e-07
5.295e-08,-1.001e-06
5.38e-08,-1.005e-06
5.465e-08,-1.009e-06
5.555e-08,-1.014e-06
5.645e-08,-1.018e-06
5.74e-08,-1.023e-06
5.83e-08,-1.027e-06
5.925e-08,-1.032e-06
6.025e-08,-1.037e-06
6.12e-08,-1.042e-06
6.22e-08,-1.046e-06
6.32e-08,-1.051e-06
6.425e-08,-1.057e-06
6.53e-08,-1.061e-06
6.635e-08,-1.066e-06
6.745e-08,-1.071e-06
6.85e-08,-1.076e-06
6.965e-08,-1.082e-06
7.075e-08,-1.086e-06
7.19e-08,-1.092e-06
7.31e-08,-1.097e-06
7.43e-08,-1.103e-06
7.55e-08,-1.109e-06
7.67e-08,-1.114e-06
7.795e-08,-1.119e-06
7.925e-08,-1.125e-06
8.05e-08,-1.13e-06
8.185e-08,-1.136e-06
8.315e-08,-1.142e-06
8.45e-08,-1.148e-06
8.59e-08,-1.154e-06
8.73e-08,-1.161e-06
8.87e-08,-1.166e-06
9.015e-08,-1.172e-06
9.16e-08,-1.178e-06
9.31e-08,-1.184e-06
9.46e-08,-1.191e-06
9.615e-08,-1.197e-06
9.77e-08,-1.204e-06
9.93e-08,-1.21e-06
1.0095e-07,-1.217e-06
1.0255e-07,-1.224e-06
1.0425e-07,-1.231e-06
1.0595e-07,-1.237e-06
1.0765e-07,-1.244e-06
1.094e-07,-1.251e-06
1.112e-07,-1.258e-06
1.13e-07,-1.265e-06
1.1485e-07,-1.273e-06
1.167e-07,-1.28e-06
1.186e-07,-1.287e-06
1.2055e-07,-1.295e-06
1.225e-07,-1.302e-06
1.245e-07,-1.31e-06
