"Ix","Iz"
1.93e-08,-4.21e-07
1.955e-08,-4.21e-07
1.985e-08,-4.23e-07
2.01e-08,-4.24e-07
2.04e-08,-4.25e-07
2.065e-08,-4.26e-07
2.095e-08,-4.26e-07
2.125e-08,-4.27e-07
2.155e-08,-4.28e-07
2.185e-08,-4.3e-07
2.215e-08,-4.31e-07
2.245e-08,-4.31e-07
2.275e-08,-4.32e-07
2.31e-08,-4.34e-07
2.34e-08,-4.34e-07
2.375e-08,-4.36e-07
2.405e-08,-4.36e-07
2.44e-08,-4.38e-07
2.475e-08,-4.39e-07
2.51e-08,-4.4e-07
2.545e-08,-4.41e-07
2.58e-08,-4.42e-07
2.615e-08,-4.43e-07
2.65e-08,-4.44e-07
2.69e-08,-4.45e-07
2.725e-08,-4.47e-07
2.765e-08,-4.48e-07
2.8e-08,-4.49e-07
2.84e-08,-4.5e-07
2.88e-08,-4.51e-07
2.92e-08,-4.53e-07
2.96e-08,-4.54e-07
3e-08,-4.55e-07
3.045e-08,-4.57e-07
3.085e-08,-4.58e-07
3.13e-08,-4.59e-07
3.175e-08,-4.61e-07
3.215e-08,-4.62e-07
3.26e-08,-4.63e-07
3.31e-08,-4.65e-07
3.355e-08,-4.66e-07
3.4e-08,-4.67e-07
3.45e-08,-4.69e-07
3.495e-08,-4.7e-07
3.545e-08,-4.72e-07
3.595e-08,-4.73e-07
3.645e-08,-4.75e-07
3.695e-08,-4.76e-07
3.745e-08,-4.78e-07
3.8e-08,-4.79e-07
3.85e-08,-4.81e-07
3.905e-08,-4.83e-07
3.96e-08,-4.85e-07
4.015e-08,-4.86e-07
4.07e-08,-4.87e-07
4.125e-08,-4.89e-07
4.185e-08,-4.91e-07
4.245e-08,-4.92e-07
4.3e-08,-4.94e-07
4.36e-08,-4.96e-07
4.42e-08,-4.98e-07
4.485e-08,-4.99e-07
4.545e-08,-5.01e-07
4.61e-08,-5.03e-07
4.675e-08,-5.05e-07
4.74e-08,-5.07e-07
4.805e-08,-5.08e-07
4.87e-08,-5.1e-07
4.94e-08,-5.12e-07
5.01e-08,-5.14e-07
5.08e-08,-5.16e-07
5.15e-08,-5.18e-07
5.22e-08,-5.2e-07
5.295e-08,-5.22e-07
5.365e-08,-5.24e-07
5.44e-08,-5.26e-07
5.515e-08,-5.28e-07
5.595e-08,-5.3e-07
5.67e-08,-5.32e-07
5.75e-08,-5.34e-07
5.83e-08,-5.36e-07
5.915e-08,-5.39e-07
5.995e-08,-5.41e-07
6.08e-08,-5.43e-07
6.165e-08,-5.45e-07
6.25e-08,-5.48e-07
6.335e-08,-5.5e-07
6.425e-08,-5.52e-07
6.515e-08,-5.55e-07
6.605e-08,-5.57e-07
6.695e-08,-5.59e-07
6.79e-08,-5.62e-07
6.885e-08,-5.64e-07
6.98e-08,-5.66e-07
7.075e-08,-5.69e-07
7.175e-08,-5.71e-07
7.275e-08,-5.74e-07
7.375e-08,-5.76e-07
7.48e-08,-5.79e-07
7.585e-08,-5.82e-07
7.69e-08,-5.84e-07
7.795e-08,-5.87e-07
7.905e-08,-5.89e-07
8.015e-08,-5.92e-07
8.125e-08,-5.94e-07
8.24e-08,-5.97e-07
8.355e-08,-6e-07
8.47e-08,-6.03e-07
8.59e-08,-6.06e-07
8.71e-08,-6.09e-07
8.83e-08,-6.11e-07
8.955e-08,-6.14e-07
9.075e-08,-6.17e-07
9.205e-08,-6.2e-07
9.33e-08,-6.23e-07
9.46e-08,-6.26e-07
9.595e-08,-6.28e-07
9.725e-08,-6.31e-07
9.865e-08,-6.35e-07
1e-07,-6.38e-07
1.014e-07,-6.41e-07
1.028e-07,-6.44e-07
1.0425e-07,-6.47e-07
1.057e-07,-6.51e-07
1.0715e-07,-6.54e-07
1.0865e-07,-6.57e-07
1.1015e-07,-6.6e-07
1.117e-07,-6.64e-07
1.1325e-07,-6.67e-07
1.1485e-07,-6.71e-07
1.1645e-07,-6.74e-07
1.1805e-07,-6.77e-07
1.197e-07,-6.81e-07
1.2135e-07,-6.84e-07
1.2305e-07,-6.87e-07
1.2475e-07,-6.9e-07
1.265e-07,-6.95e-07
1.2825e-07,-6.99e-07
1.3005e-07,-7.03e-07
1.3185e-07,-7.06e-07
1.337e-07,-7.1e-07
1.3555e-07,-7.14e-07
1.3745e-07,-7.17e-07
1.3935e-07,-7.21e-07
1.413e-07,-7.25e-07
1.4325e-07,-7.29e-07
1.4525e-07,-7.33e-07
1.473e-07,-7.37e-07
1.4935e-07,-7.41e-07
1.514e-07,-7.45e-07
1.5355e-07,-7.49e-07
1.5565e-07,-7.53e-07
1.5785e-07,-7.57e-07
1.6005e-07,-7.61e-07
1.6225e-07,-7.66e-07
1.645e-07,-7.7e-07
1.668e-07,-7.74e-07
1.6915e-07,-7.79e-07
1.715e-07,-7.83e-07
1.739e-07,-7.87e-07
1.763e-07,-7.92e-07
1.7875e-07,-7.97e-07
1.8125e-07,-8.01e-07
1.8375e-07,-8.05e-07
1.863e-07,-8.1e-07
1.889e-07,-8.15e-07
1.9155e-07,-8.2e-07
1.942e-07,-8.24e-07
1.969e-07,-8.29e-07
1.9965e-07,-8.34e-07
2.025e-07,-8.38e-07
2.055e-07,-8.43e-07
2.08e-07,-8.48e-07
2.11e-07,-8.53e-07
2.14e-07,-8.58e-07
2.17e-07,-8.63e-07
2.2e-07,-8.68e-07
2.23e-07,-8.73e-07
2.26e-07,-8.78e-07
2.295e-07,-8.84e-07
2.325e-07,-8.9e-07
2.355e-07,-8.94e-07
2.39e-07,-9e-07
2.425e-07,-9.06e-07
2.455e-07,-9.1e-07
2.49e-07,-9.16e-07
2.525e-07,-9.22e-07
2.56e-07,-9.28e-07
2.595e-07,-9.33e-07
2.635e-07,-9.39e-07
2.67e-07,-9.45e-07
2.705e-07,-9.5e-07
2.745e-07,-9.56e-07
2.785e-07,-9.62e-07
2.82e-07,-9.67e-07
2.86e-07,-9.74e-07
2.9e-07,-9.79e-07
2.94e-07,-9.85e-07
2.98e-07,-9.91e-07
3.025e-07,-9.98e-07
3.065e-07,-1.004e-06
3.11e-07,-1.011e-06
3.15e-07,-1.016e-06
3.195e-07,-1.023e-06
3.24e-07,-1.029e-06
3.285e-07,-1.036e-06
3.33e-07,-1.044e-06
3.375e-07,-1.051e-06
3.425e-07,-1.058e-06
3.47e-07,-1.065e-06
3.52e-07,-1.072e-06
3.57e-07,-1.079e-06
3.62e-07,-1.086e-06
3.67e-07,-1.093e-06
3.72e-07,-1.1e-06
3.77e-07,-1.107e-06
3.825e-07,-1.114e-06
3.88e-07,-1.121e-06
3.93e-07,-1.128e-06
3.985e-07,-1.135e-06
4.04e-07,-1.143e-06
4.1e-07,-1.15e-06
4.155e-07,-1.158e-06
4.215e-07,-1.165e-06
4.27e-07,-1.172e-06
4.33e-07,-1.18e-06
4.39e-07,-1.187e-06
4.455e-07,-1.195e-06
4.515e-07,-1.203e-06
4.58e-07,-1.211e-06
4.64e-07,-1.219e-06
4.705e-07,-1.227e-06
4.77e-07,-1.236e-06
4.84e-07,-1.245e-06
4.905e-07,-1.253e-06
4.975e-07,-1.262e-06
5.045e-07,-1.27e-06
5.115e-07,-1.279e-06
5.185e-07,-1.288e-06
5.255e-07,-1.296e-06
5.33e-07,-1.305e-06
5.405e-07,-1.314e-06
5.48e-07,-1.323e-06
5.555e-07,-1.332e-06
5.635e-07,-1.342e-06
5.71e-07,-1.35e-06
5.79e-07,-1.36e-06
5.87e-07,-1.369e-06
5.955e-07,-1.379e-06
6.035e-07,-1.388e-06
6.12e-07,-1.398e-06
6.205e-07,-1.408e-06
6.29e-07,-1.417e-06
6.38e-07,-1.427e-06
6.47e-07,-1.438e-06
6.56e-07,-1.448e-06
6.65e-07,-1.458e-06
6.745e-07,-1.468e-06
6.835e-07,-1.478e-06
6.93e-07,-1.489e-06
7.03e-07,-1.499e-06
7.125e-07,-1.509e-06
7.225e-07,-1.52e-06
7.325e-07,-1.531e-06
7.43e-07,-1.542e-06
7.53e-07,-1.553e-06
7.635e-07,-1.564e-06
7.745e-07,-1.575e-06
7.85e-07,-1.586e-06
7.96e-07,-1.597e-06
8.07e-07,-1.608e-06
8.185e-07,-1.62e-06
8.295e-07,-1.631e-06
8.41e-07,-1.642e-06
8.53e-07,-1.655e-06
8.65e-07,-1.667e-06
8.77e-07,-1.679e-06
8.89e-07,-1.691e-06
9.015e-07,-1.703e-06
9.14e-07,-1.715e-06
9.27e-07,-1.728e-06
9.395e-07,-1.74e-06
9.53e-07,-1.752e-06
9.66e-07,-1.765e-06
9.795e-07,-1.779e-06
9.93e-07,-1.792e-06
1.007e-06,-1.806e-06
1.021e-06,-1.819e-06
1.035e-06,-1.832e-06
1.0495e-06,-1.846e-06
1.064e-06,-1.86e-06
1.079e-06,-1.873e-06
1.094e-06,-1.888e-06
1.1095e-06,-1.902e-06
1.1245e-06,-1.916e-06
1.1405e-06,-1.93e-06
1.1565e-06,-1.945e-06
1.1725e-06,-1.96e-06
1.1885e-06,-1.974e-06
1.2055e-06,-1.988e-06
1.222e-06,-2.003e-06
1.239e-06,-2.018e-06
1.2565e-06,-2.034e-06
1.274e-06,-2.037e-06
1.2915e-06,-2.037e-06
1.3095e-06,-2.037e-06
1.328e-06,-2.037e-06
1.3465e-06,-2.037e-06
1.365e-06,-2.037e-06
1.384e-06,-2.037e-06
1.4035e-06,-2.037e-06
1.423e-06,-2.037e-06
1.4425e-06,-2.037e-06
