"Vbe","Ib","Ie"
0.0,-4.1e-08,4e-10
0.00500500500501,-1.89e-08,4e-10
0.01001001001,-1.46e-08,0.0
0.015015015015,-1.22e-08,-1e-10
0.02002002002,-1.1e-08,-5e-10
0.025025025025,-9.7e-09,-5e-10
0.03003003003,-9.1e-09,-6e-10
0.035035035035,-8.5e-09,-9e-10
0.04004004004,-7.8e-09,-1.3e-09
0.045045045045,-7.3e-09,-8e-10
0.0500500500501,-7e-09,-1e-09
0.0550550550551,-6.7e-09,-1.4e-09
0.0600600600601,-6e-09,-1.5e-09
0.0650650650651,-5.8e-09,-1.5e-09
0.0700700700701,-5.6e-09,-1.9e-09
0.0750750750751,-5.4e-09,-1.8e-09
0.0800800800801,-4.9e-09,-2.4e-09
0.0850850850851,-4.8e-09,-2.1e-09
0.0900900900901,-4.6e-09,-2.7e-09
0.0950950950951,-4.5e-09,-2.8e-09
0.1001001001,-4e-09,-2.7e-09
0.105105105105,-3.5e-09,-3e-09
0.11011011011,-3.4e-09,-3.1e-09
0.115115115115,-3e-09,-3.1e-09
0.12012012012,-2.9e-09,-3.4e-09
0.125125125125,-2.7e-09,-3.5e-09
0.13013013013,-2.5e-09,-3.8e-09
0.135135135135,-2.3e-09,-3.8e-09
0.14014014014,-2.2e-09,-4.2e-09
0.145145145145,-1.7e-09,-4e-09
0.15015015015,-1.5e-09,-4.4e-09
0.155155155155,-1.4e-09,-4.5e-09
0.16016016016,-1.7e-09,-4.8e-09
0.165165165165,-1.2e-09,-4.7e-09
0.17017017017,-9e-10,-5e-09
0.175175175175,-1e-09,-5.1e-09
0.18018018018,-7e-10,-5.7e-09
0.185185185185,-6e-10,-5.6e-09
0.19019019019,-1e-10,-5.9e-09
0.195195195195,0.0,-5.9e-09
0.2002002002,-1e-10,-6.6e-09
0.205205205205,5e-10,-7e-09
0.21021021021,1e-09,-7e-09
0.215215215215,7e-10,-7.8e-09
0.22022022022,6e-10,-7.8e-09
0.225225225225,1.3e-09,-8.4e-09
0.23023023023,9e-10,-9.3e-09
0.235235235235,1.1e-09,-1e-08
0.24024024024,1.7e-09,-1.06e-08
0.245245245245,1.6e-09,-1.17e-08
0.25025025025,2.1e-09,-1.3e-08
0.255255255255,2e-09,-1.45e-08
0.26026026026,2.3e-09,-1.6e-08
0.265265265265,2.7e-09,-1.82e-08
0.27027027027,2.1e-09,-2.02e-08
0.275275275275,2.7e-09,-2.28e-08
0.28028028028,2.5e-09,-2.6e-08
0.285285285285,3.1e-09,-3.01e-08
0.29029029029,3e-09,-3.49e-08
0.295295295295,2.8e-09,-4.04e-08
0.3003003003,3.6e-09,-4.76e-08
0.305305305305,3.6e-09,-5.53e-08
0.31031031031,4.3e-09,-6.52e-08
0.315315315315,4.3e-09,-7.67e-08
0.32032032032,4e-09,-9.09e-08
0.325325325325,3.9e-09,-1.083e-07
0.33033033033,4.9e-09,-1.288e-07
0.335335335335,3.9e-09,-1.54e-07
0.34034034034,4.1e-09,-1.839e-07
0.345345345345,5e-09,-2.27e-07
0.35035035035,5.6e-09,-2.72e-07
0.355355355355,5e-09,-3.27e-07
0.36036036036,5.5e-09,-3.94e-07
0.365365365365,5.6e-09,-4.74e-07
0.37037037037,5.9e-09,-5.71e-07
0.375375375375,6.7e-09,-6.89e-07
0.38038038038,6.9e-09,-8.31e-07
0.385385385385,6.4e-09,-1.004e-06
0.39039039039,7.2e-09,-1.206e-06
0.395395395395,6.7e-09,-1.449e-06
0.4004004004,7.7e-09,-1.74e-06
0.405405405405,7.9e-09,-2.14e-06
0.41041041041,8.5e-09,-2.57e-06
0.415415415415,9.7e-09,-3.1e-06
0.42042042042,9.6e-09,-3.74e-06
0.425425425425,1.15e-08,-4.5e-06
0.43043043043,1.2e-08,-5.42e-06
0.435435435435,1.29e-08,-6.53e-06
0.44044044044,1.48e-08,-7.88e-06
0.445445445445,1.62e-08,-9.47e-06
0.45045045045,1.82e-08,-1.147e-05
0.455455455455,1.99e-08,-1.388e-05
0.46046046046,2.36e-08,-1.678e-05
0.465465465465,2.69e-08,-2.09e-05
0.47047047047,3.07e-08,-2.53e-05
0.475475475475,3.57e-08,-3.06e-05
0.48048048048,4.15e-08,-3.71e-05
0.485485485485,4.87e-08,-4.49e-05
0.49049049049,5.66e-08,-5.43e-05
0.495495495495,6.74e-08,-6.56e-05
0.500500500501,7.95e-08,-7.93e-05
0.505505505506,9.5e-08,-9.59e-05
0.510510510511,1.126e-07,-0.0001157
0.515515515516,1.341e-07,-0.0001397
0.520520520521,1.596e-07,-0.0001677
0.525525525526,1.96e-07,-0.000209
0.530530530531,2.35e-07,-0.000251
0.535535535536,2.83e-07,-0.000303
0.540540540541,3.39e-07,-0.000366
0.545545545546,4.07e-07,-0.00044
0.550550550551,4.9e-07,-0.00053
0.555555555556,5.88e-07,-0.000637
0.560560560561,7.07e-07,-0.000766
0.565565565566,8.47e-07,-0.000918
0.570570570571,1.013e-06,-0.001099
0.575575575576,1.213e-06,-0.001316
0.580580580581,1.45e-06,-0.001571
0.585585585586,1.728e-06,-0.001868
0.590590590591,2.14e-06,-0.00232
0.595595595596,2.56e-06,-0.00277
0.600600600601,3.05e-06,-0.0033
0.605605605606,3.63e-06,-0.00391
0.610610610611,4.29e-06,-0.00463
0.615615615616,5.07e-06,-0.00545
0.620620620621,5.95e-06,-0.00639
0.625625625626,6.95e-06,-0.00745
0.630630630631,8.1e-06,-0.00865
0.635635635636,9.39e-06,-0.01
0.640640640641,1.083e-05,-0.01151
0.645645645646,1.24e-05,-0.01315
0.650650650651,1.412e-05,-0.01492
0.655655655656,1.599e-05,-0.01685
0.660660660661,1.801e-05,-0.0189
0.665665665666,2.015e-05,-0.02034
0.670670670671,2.25e-05,-0.02034
