"Iy","Iz"
-1e-09,-0.00369
-1e-09,-0.00369
-1.05e-09,-0.00368
-1.05e-09,-0.00368
-1.05e-09,-0.00369
-1.1e-09,-0.00369
-1.1e-09,-0.00369
-1.1e-09,-0.00369
-1.15e-09,-0.00369
-1.15e-09,-0.00369
-1.2e-09,-0.00369
-1.2e-09,-0.00369
-1.2e-09,-0.00369
-1.25e-09,-0.00369
-1.25e-09,-0.00369
-1.25e-09,-0.00369
-1.3e-09,-0.00369
-1.3e-09,-0.00369
-1.35e-09,-0.00369
-1.35e-09,-0.00369
-1.4e-09,-0.00369
-1.4e-09,-0.00369
-1.45e-09,-0.00369
-1.45e-09,-0.00369
-1.45e-09,-0.00369
-1.5e-09,-0.00369
-1.5e-09,-0.00369
-1.55e-09,-0.00369
-1.55e-09,-0.00369
-1.6e-09,-0.00369
-1.6e-09,-0.00369
-1.65e-09,-0.00369
-1.7e-09,-0.00369
-1.7e-09,-0.00369
-1.75e-09,-0.00369
-1.75e-09,-0.00369
-1.8e-09,-0.00369
-1.8e-09,-0.00369
-1.85e-09,-0.00369
-1.9e-09,-0.00369
-1.9e-09,-0.00369
-1.95e-09,-0.00369
-1.95e-09,-0.00369
-2e-09,-0.00369
-2.05e-09,-0.00369
-2.05e-09,-0.00369
-2.1e-09,-0.00369
-2.15e-09,-0.00369
-2.15e-09,-0.00369
-2.2e-09,-0.00369
-2.25e-09,-0.00369
-2.3e-09,-0.00369
-2.3e-09,-0.00369
-2.35e-09,-0.00369
-2.4e-09,-0.00369
-2.45e-09,-0.00369
-2.45e-09,-0.00369
-2.5e-09,-0.00369
-2.55e-09,-0.00369
-2.6e-09,-0.00369
-2.65e-09,-0.00369
-2.7e-09,-0.00369
-2.7e-09,-0.00369
-2.75e-09,-0.00369
-2.8e-09,-0.00369
-2.85e-09,-0.00369
-2.9e-09,-0.00369
-2.95e-09,-0.00369
-3e-09,-0.00369
-3.05e-09,-0.00369
-3.1e-09,-0.00369
-3.15e-09,-0.00369
-3.2e-09,-0.00369
-3.25e-09,-0.00369
-3.3e-09,-0.00369
-3.35e-09,-0.00369
-3.4e-09,-0.00369
-3.45e-09,-0.00369
-3.5e-09,-0.00369
-3.6e-09,-0.00369
-3.65e-09,-0.00369
-3.7e-09,-0.00369
-3.75e-09,-0.00369
-3.8e-09,-0.00369
-3.9e-09,-0.00369
-3.95e-09,-0.00369
-4e-09,-0.00369
-4.05e-09,-0.00369
-4.15e-09,-0.00369
-4.2e-09,-0.00369
-4.25e-09,-0.00369
-4.35e-09,-0.00369
-4.4e-09,-0.00369
-4.5e-09,-0.00369
-4.55e-09,-0.00369
-4.65e-09,-0.00369
-4.7e-09,-0.00369
-4.8e-09,-0.00369
-4.85e-09,-0.00369
-4.95e-09,-0.00369
-5e-09,-0.00369
-5.1e-09,-0.00369
-5.2e-09,-0.00369
-5.25e-09,-0.00369
-5.35e-09,-0.00369
-5.45e-09,-0.00369
-5.55e-09,-0.00369
-5.6e-09,-0.00369
-5.7e-09,-0.00369
-5.8e-09,-0.00369
-5.9e-09,-0.00369
-6e-09,-0.00369
-6.1e-09,-0.00369
-6.2e-09,-0.00369
-6.3e-09,-0.00369
-6.4e-09,-0.00369
-6.5e-09,-0.00369
-6.6e-09,-0.00369
-6.7e-09,-0.00369
-6.8e-09,-0.00369
-6.95e-09,-0.00369
-7.05e-09,-0.00369
-7.15e-09,-0.00369
-7.3e-09,-0.00369
-7.4e-09,-0.00369
-7.5e-09,-0.00369
-7.65e-09,-0.00369
-7.75e-09,-0.00369
-7.9e-09,-0.00369
-8e-09,-0.00369
-8.15e-09,-0.00369
-8.3e-09,-0.00369
-8.4e-09,-0.00369
-8.55e-09,-0.00369
-8.7e-09,-0.00369
-8.85e-09,-0.00369
-8.95e-09,-0.00369
-9.1e-09,-0.00369
-9.25e-09,-0.00369
-9.4e-09,-0.00369
-9.55e-09,-0.00369
-9.75e-09,-0.00369
-9.9e-09,-0.00369
-1.005e-08,-0.00369
-1.02e-08,-0.00369
-1.04e-08,-0.00369
-1.055e-08,-0.00369
-1.07e-08,-0.00369
-1.09e-08,-0.00369
-1.105e-08,-0.00369
-1.125e-08,-0.00369
-1.145e-08,-0.00369
-1.16e-08,-0.00368
-1.18e-08,-0.00368
-1.2e-08,-0.00368
-1.22e-08,-0.00369
-1.24e-08,-0.00369
-1.26e-08,-0.00369
-1.28e-08,-0.00368
-1.3e-08,-0.00369
-1.32e-08,-0.00368
-1.345e-08,-0.00368
-1.365e-08,-0.00368
-1.385e-08,-0.00368
-1.41e-08,-0.00368
-1.435e-08,-0.00368
-1.455e-08,-0.00368
-1.48e-08,-0.00368
-1.505e-08,-0.00368
-1.53e-08,-0.00368
-1.555e-08,-0.00368
-1.58e-08,-0.00368
-1.605e-08,-0.00368
-1.63e-08,-0.00368
-1.655e-08,-0.00368
-1.685e-08,-0.00368
-1.71e-08,-0.00368
-1.74e-08,-0.00368
-1.765e-08,-0.00368
-1.795e-08,-0.00368
-1.825e-08,-0.00368
-1.855e-08,-0.00368
-1.885e-08,-0.00368
-1.915e-08,-0.00368
-1.945e-08,-0.00368
-1.98e-08,-0.00368
-2.01e-08,-0.00368
-2.045e-08,-0.00368
-2.075e-08,-0.00368
-2.11e-08,-0.00368
-2.145e-08,-0.00368
-2.18e-08,-0.00368
-2.215e-08,-0.00368
-2.25e-08,-0.00368
-2.285e-08,-0.00368
-2.325e-08,-0.00368
-2.365e-08,-0.00368
-2.4e-08,-0.00368
-2.44e-08,-0.00368
-2.48e-08,-0.00368
-2.52e-08,-0.00368
-2.56e-08,-0.00368
-2.605e-08,-0.00368
-2.645e-08,-0.00368
-2.69e-08,-0.00368
-2.73e-08,-0.00368
-2.775e-08,-0.00368
-2.82e-08,-0.00368
-2.865e-08,-0.00367
-2.915e-08,-0.00367
-2.96e-08,-0.00367
-3.01e-08,-0.00367
-3.06e-08,-0.00367
-3.11e-08,-0.00367
-3.16e-08,-0.00367
-3.21e-08,-0.00367
-3.26e-08,-0.00367
-3.315e-08,-0.00367
-3.37e-08,-0.00367
-3.425e-08,-0.00367
-3.48e-08,-0.00367
-3.535e-08,-0.00367
