"Iy","Iz"
-1e-09,-3.43e-06
-1e-09,-3.43e-06
-1.05e-09,-3.43e-06
-1.05e-09,-3.43e-06
-1.05e-09,-3.44e-06
-1.1e-09,-3.44e-06
-1.1e-09,-3.43e-06
-1.1e-09,-3.43e-06
-1.15e-09,-3.44e-06
-1.15e-09,-3.43e-06
-1.2e-09,-3.44e-06
-1.2e-09,-3.44e-06
-1.2e-09,-3.44e-06
-1.25e-09,-3.44e-06
-1.25e-09,-3.44e-06
-1.25e-09,-3.44e-06
-1.3e-09,-3.44e-06
-1.3e-09,-3.44e-06
-1.35e-09,-3.44e-06
-1.35e-09,-3.44e-06
-1.4e-09,-3.44e-06
-1.4e-09,-3.44e-06
-1.45e-09,-3.44e-06
-1.45e-09,-3.44e-06
-1.45e-09,-3.44e-06
-1.5e-09,-3.44e-06
-1.5e-09,-3.44e-06
-1.55e-09,-3.44e-06
-1.55e-09,-3.44e-06
-1.6e-09,-3.44e-06
-1.6e-09,-3.44e-06
-1.65e-09,-3.44e-06
-1.7e-09,-3.44e-06
-1.7e-09,-3.44e-06
-1.75e-09,-3.44e-06
-1.75e-09,-3.44e-06
-1.8e-09,-3.44e-06
-1.8e-09,-3.44e-06
-1.85e-09,-3.45e-06
-1.9e-09,-3.45e-06
-1.9e-09,-3.45e-06
-1.95e-09,-3.45e-06
-1.95e-09,-3.45e-06
-2e-09,-3.45e-06
-2.05e-09,-3.45e-06
-2.05e-09,-3.45e-06
-2.1e-09,-3.45e-06
-2.15e-09,-3.45e-06
-2.15e-09,-3.45e-06
-2.2e-09,-3.45e-06
-2.25e-09,-3.45e-06
-2.3e-09,-3.45e-06
-2.3e-09,-3.45e-06
-2.35e-09,-3.45e-06
-2.4e-09,-3.45e-06
-2.45e-09,-3.45e-06
-2.45e-09,-3.45e-06
-2.5e-09,-3.45e-06
-2.55e-09,-3.45e-06
-2.6e-09,-3.46e-06
-2.65e-09,-3.46e-06
-2.7e-09,-3.46e-06
-2.7e-09,-3.46e-06
-2.75e-09,-3.46e-06
-2.8e-09,-3.46e-06
-2.85e-09,-3.46e-06
-2.9e-09,-3.46e-06
-2.95e-09,-3.46e-06
-3e-09,-3.46e-06
-3.05e-09,-3.46e-06
-3.1e-09,-3.46e-06
-3.15e-09,-3.46e-06
-3.2e-09,-3.46e-06
-3.25e-09,-3.47e-06
-3.3e-09,-3.47e-06
-3.35e-09,-3.47e-06
-3.4e-09,-3.47e-06
-3.45e-09,-3.47e-06
-3.5e-09,-3.47e-06
-3.6e-09,-3.47e-06
-3.65e-09,-3.47e-06
-3.7e-09,-3.47e-06
-3.75e-09,-3.47e-06
-3.8e-09,-3.47e-06
-3.9e-09,-3.47e-06
-3.95e-09,-3.47e-06
-4e-09,-3.48e-06
-4.05e-09,-3.48e-06
-4.15e-09,-3.48e-06
-4.2e-09,-3.48e-06
-4.25e-09,-3.48e-06
-4.35e-09,-3.48e-06
-4.4e-09,-3.48e-06
-4.5e-09,-3.48e-06
