"Iy","Iz"
-2.275e-07,-0.02034
-2.31e-07,-0.02034
-2.34e-07,-0.02034
-2.375e-07,-0.02034
-2.405e-07,-0.02034
-2.44e-07,-0.02034
-2.475e-07,-0.02034
-2.51e-07,-0.02034
-2.545e-07,-0.02034
-2.58e-07,-0.02034
-2.615e-07,-0.02034
-2.65e-07,-0.02034
-2.69e-07,-0.02034
-2.725e-07,-0.02034
-2.765e-07,-0.02034
-2.8e-07,-0.02034
-2.84e-07,-0.02034
-2.88e-07,-0.02034
-2.92e-07,-0.02034
-2.96e-07,-0.02034
-3e-07,-0.02034
-3.045e-07,-0.02034
-3.085e-07,-0.02034
-3.13e-07,-0.02034
-3.175e-07,-0.02034
-3.215e-07,-0.02034
-3.26e-07,-0.02034
-3.31e-07,-0.02034
-3.355e-07,-0.02034
-3.4e-07,-0.02034
-3.45e-07,-0.02034
-3.495e-07,-0.02034
-3.545e-07,-0.02034
-3.595e-07,-0.02034
-3.645e-07,-0.02034
-3.695e-07,-0.02034
-3.745e-07,-0.02034
-3.8e-07,-0.02034
-3.85e-07,-0.02034
-3.905e-07,-0.02034
-3.96e-07,-0.02034
-4.015e-07,-0.02034
-4.07e-07,-0.02034
-4.125e-07,-0.02034
-4.185e-07,-0.02034
-4.245e-07,-0.02034
-4.3e-07,-0.02034
-4.36e-07,-0.02034
-4.42e-07,-0.02034
-4.485e-07,-0.02034
-4.545e-07,-0.02034
-4.61e-07,-0.02034
-4.675e-07,-0.02034
-4.74e-07,-0.02034
-4.805e-07,-0.02034
-4.87e-07,-0.02034
-4.94e-07,-0.02034
-5.01e-07,-0.02034
-5.08e-07,-0.02034
-5.15e-07,-0.02034
-5.22e-07,-0.02034
-5.295e-07,-0.02034
-5.365e-07,-0.02034
-5.44e-07,-0.02034
-5.515e-07,-0.02034
-5.595e-07,-0.02034
-5.67e-07,-0.02034
-5.75e-07,-0.02034
-5.83e-07,-0.02034
-5.915e-07,-0.02034
-5.995e-07,-0.02034
-6.08e-07,-0.02034
-6.165e-07,-0.02034
-6.25e-07,-0.02034
-6.335e-07,-0.02034
-6.425e-07,-0.02034
-6.515e-07,-0.02034
-6.605e-07,-0.02034
-6.695e-07,-0.02034
-6.79e-07,-0.02034
-6.885e-07,-0.02034
-6.98e-07,-0.02034
-7.075e-07,-0.02034
-7.175e-07,-0.02034
-7.275e-07,-0.02034
-7.375e-07,-0.02034
-7.48e-07,-0.02034
-7.585e-07,-0.02034
-7.69e-07,-0.02034
-7.795e-07,-0.02034
-7.905e-07,-0.02034
-8.015e-07,-0.02034
-8.125e-07,-0.02034
-8.24e-07,-0.02034
-8.355e-07,-0.02034
-8.47e-07,-0.02034
-8.59e-07,-0.02034
-8.71e-07,-0.02034
-8.83e-07,-0.02034
-8.955e-07,-0.02034
-9.075e-07,-0.02034
-9.205e-07,-0.02034
-9.33e-07,-0.02034
-9.46e-07,-0.02034
-9.595e-07,-0.02034
-9.725e-07,-0.02034
-9.865e-07,-0.02034
-1e-06,-0.02034
-1.014e-06,-0.02034
-1.028e-06,-0.02034
-1.0425e-06,-0.02034
-1.057e-06,-0.02034
-1.0715e-06,-0.02034
-1.0865e-06,-0.02034
-1.1015e-06,-0.02034
-1.117e-06,-0.02034
-1.1325e-06,-0.02034
-1.1485e-06,-0.02034
-1.1645e-06,-0.02034
-1.1805e-06,-0.02034
-1.197e-06,-0.02034
-1.2135e-06,-0.02034
-1.2305e-06,-0.02034
-1.2475e-06,-0.02034
-1.265e-06,-0.02034
-1.2825e-06,-0.02034
-1.3005e-06,-0.02034
-1.3185e-06,-0.02034
-1.337e-06,-0.02034
-1.3555e-06,-0.02034
-1.3745e-06,-0.02034
-1.3935e-06,-0.02034
-1.413e-06,-0.02034
-1.4325e-06,-0.02034
-1.4525e-06,-0.02034
-1.473e-06,-0.02034
-1.4935e-06,-0.02034
-1.514e-06,-0.02034
-1.5355e-06,-0.02034
-1.5565e-06,-0.02034
-1.5785e-06,-0.02034
-1.6005e-06,-0.02034
-1.6225e-06,-0.02034
-1.645e-06,-0.02034
-1.668e-06,-0.02034
-1.6915e-06,-0.02034
-1.715e-06,-0.02034
-1.739e-06,-0.02034
-1.763e-06,-0.02034
-1.7875e-06,-0.02034
-1.8125e-06,-0.02034
-1.8375e-06,-0.02034
-1.863e-06,-0.02034
-1.889e-06,-0.02034
-1.9155e-06,-0.02034
-1.942e-06,-0.02034
-1.969e-06,-0.02034
-1.9965e-06,-0.02034
-2.025e-06,-0.02034
-2.055e-06,-0.02034
-2.08e-06,-0.02034
-2.11e-06,-0.02034
-2.14e-06,-0.02034
-2.17e-06,-0.02034
-2.2e-06,-0.02034
-2.23e-06,-0.02034
-2.26e-06,-0.02034
-2.295e-06,-0.02034
-2.325e-06,-0.02034
-2.355e-06,-0.02034
-2.39e-06,-0.02034
-2.425e-06,-0.02034
-2.455e-06,-0.02034
-2.49e-06,-0.02034
-2.525e-06,-0.02034
-2.56e-06,-0.02034
-2.595e-06,-0.02034
-2.635e-06,-0.02034
-2.67e-06,-0.02034
-2.705e-06,-0.02034
-2.745e-06,-0.02034
-2.785e-06,-0.02034
