"Iy","Iz"
-1e-09,-0.000342
-1e-09,-0.000342
-1.05e-09,-0.000342
-1.05e-09,-0.000342
-1.05e-09,-0.000342
-1.05e-09,-0.000342
-1.1e-09,-0.000342
-1.1e-09,-0.000342
-1.1e-09,-0.000342
-1.15e-09,-0.000342
-1.15e-09,-0.000342
-1.15e-09,-0.000342
-1.2e-09,-0.000342
-1.2e-09,-0.000342
-1.2e-09,-0.000342
-1.25e-09,-0.000342
-1.25e-09,-0.000342
-1.25e-09,-0.000342
-1.3e-09,-0.000342
-1.3e-09,-0.000342
-1.3e-09,-0.000342
-1.35e-09,-0.000342
-1.35e-09,-0.000342
-1.35e-09,-0.000342
-1.4e-09,-0.000342
-1.4e-09,-0.000342
-1.45e-09,-0.000342
-1.45e-09,-0.000342
-1.45e-09,-0.000342
-1.5e-09,-0.000342
-1.5e-09,-0.000342
-1.55e-09,-0.000342
-1.55e-09,-0.000342
-1.6e-09,-0.000342
-1.6e-09,-0.000341
-1.6e-09,-0.000342
-1.65e-09,-0.000341
-1.65e-09,-0.000342
-1.7e-09,-0.000342
-1.7e-09,-0.000341
-1.75e-09,-0.000341
-1.75e-09,-0.000342
-1.8e-09,-0.000341
-1.8e-09,-0.000341
-1.85e-09,-0.000342
-1.85e-09,-0.000342
-1.9e-09,-0.000342
-1.9e-09,-0.000342
-1.95e-09,-0.000341
-1.95e-09,-0.000341
-2e-09,-0.000342
-2e-09,-0.000342
-2.05e-09,-0.000342
-2.1e-09,-0.000342
-2.1e-09,-0.000341
-2.15e-09,-0.000341
-2.15e-09,-0.000342
-2.2e-09,-0.000342
-2.25e-09,-0.000341
-2.25e-09,-0.000341
-2.3e-09,-0.000341
-2.3e-09,-0.000342
-2.35e-09,-0.000342
-2.4e-09,-0.000341
-2.4e-09,-0.000342
-2.45e-09,-0.000342
-2.5e-09,-0.000342
-2.55e-09,-0.000342
-2.55e-09,-0.000341
-2.6e-09,-0.000341
-2.65e-09,-0.000341
-2.65e-09,-0.000341
-2.7e-09,-0.000342
-2.75e-09,-0.000341
-2.8e-09,-0.000341
-2.8e-09,-0.000341
-2.85e-09,-0.000342
-2.9e-09,-0.000341
-2.95e-09,-0.000341
-3e-09,-0.000341
-3e-09,-0.000341
-3.05e-09,-0.000341
-3.1e-09,-0.000342
-3.15e-09,-0.000341
-3.2e-09,-0.000341
-3.25e-09,-0.000341
-3.3e-09,-0.000341
-3.35e-09,-0.000342
-3.4e-09,-0.000342
-3.4e-09,-0.000341
-3.45e-09,-0.000341
-3.5e-09,-0.000342
-3.55e-09,-0.000341
-3.6e-09,-0.000341
-3.65e-09,-0.000341
-3.7e-09,-0.000341
-3.75e-09,-0.000342
-3.8e-09,-0.000341
-3.9e-09,-0.000341
