"Iy","Iz"
1e-09,-1.72e-08
1e-09,-1.69e-08
1.05e-09,-1.71e-08
1.05e-09,-1.68e-08
1.05e-09,-1.69e-08
1.05e-09,-1.7e-08
1.1e-09,-1.7e-08
1.1e-09,-1.69e-08
1.1e-09,-1.67e-08
1.15e-09,-1.7e-08
1.15e-09,-1.69e-08
1.15e-09,-1.7e-08
1.2e-09,-1.71e-08
1.2e-09,-1.69e-08
1.2e-09,-1.67e-08
1.25e-09,-1.7e-08
1.25e-09,-1.66e-08
1.25e-09,-1.67e-08
1.3e-09,-1.7e-08
1.3e-09,-1.69e-08
1.3e-09,-1.69e-08
1.35e-09,-1.71e-08
1.35e-09,-1.7e-08
1.35e-09,-1.66e-08
1.4e-09,-1.67e-08
1.4e-09,-1.69e-08
1.45e-09,-1.7e-08
1.45e-09,-1.72e-08
1.45e-09,-1.68e-08
1.5e-09,-1.69e-08
1.5e-09,-1.71e-08
1.55e-09,-1.69e-08
1.55e-09,-1.67e-08
1.6e-09,-1.68e-08
1.6e-09,-1.68e-08
1.6e-09,-1.68e-08
1.65e-09,-1.68e-08
1.65e-09,-1.67e-08
1.7e-09,-1.68e-08
1.7e-09,-1.68e-08
1.75e-09,-1.71e-08
1.75e-09,-1.71e-08
1.8e-09,-1.68e-08
1.8e-09,-1.69e-08
1.85e-09,-1.7e-08
1.85e-09,-1.71e-08
1.9e-09,-1.69e-08
1.9e-09,-1.69e-08
1.95e-09,-1.67e-08
1.95e-09,-1.7e-08
2e-09,-1.7e-08
2e-09,-1.7e-08
2.05e-09,-1.68e-08
2.1e-09,-1.7e-08
2.1e-09,-1.69e-08
2.15e-09,-1.69e-08
2.15e-09,-1.7e-08
2.2e-09,-1.71e-08
2.25e-09,-1.7e-08
2.25e-09,-1.71e-08
2.3e-09,-1.69e-08
2.3e-09,-1.73e-08
2.35e-09,-1.66e-08
2.4e-09,-1.68e-08
2.4e-09,-1.68e-08
2.45e-09,-1.69e-08
2.5e-09,-1.68e-08
2.55e-09,-1.69e-08
2.55e-09,-1.68e-08
2.6e-09,-1.7e-08
2.65e-09,-1.69e-08
2.65e-09,-1.68e-08
2.7e-09,-1.68e-08
2.75e-09,-1.7e-08
2.8e-09,-1.73e-08
2.8e-09,-1.71e-08
2.85e-09,-1.7e-08
2.9e-09,-1.69e-08
2.95e-09,-1.67e-08
3e-09,-1.66e-08
3e-09,-1.71e-08
3.05e-09,-1.68e-08
3.1e-09,-1.69e-08
3.15e-09,-1.7e-08
3.2e-09,-1.71e-08
3.25e-09,-1.7e-08
3.3e-09,-1.66e-08
3.35e-09,-1.71e-08
3.4e-09,-1.69e-08
3.4e-09,-1.65e-08
3.45e-09,-1.66e-08
3.5e-09,-1.68e-08
3.55e-09,-1.7e-08
3.6e-09,-1.68e-08
3.65e-09,-1.68e-08
3.7e-09,-1.7e-08
3.75e-09,-1.69e-08
3.8e-09,-1.67e-08
3.9e-09,-1.65e-08
3.95e-09,-1.66e-08
4e-09,-1.68e-08
4.05e-09,-1.69e-08
4.1e-09,-1.67e-08
4.15e-09,-1.68e-08
4.2e-09,-1.69e-08
4.25e-09,-1.7e-08
4.35e-09,-1.7e-08
4.4e-09,-1.67e-08
4.45e-09,-1.69e-08
4.5e-09,-1.7e-08
