"Vbe","Ib","Ie"
0.0,-1.342e-07,-4e-10
0.00500500500501,-1.289e-07,-3e-10
0.01001001001,-1.271e-07,-2e-10
0.015015015015,-1.258e-07,-5e-10
0.02002002002,-1.248e-07,-7e-10
0.025025025025,-1.243e-07,-9e-10
0.03003003003,-1.237e-07,-6e-10
0.035035035035,-1.232e-07,-7e-10
0.04004004004,-1.228e-07,-8e-10
0.045045045045,-1.224e-07,-9e-10
0.0500500500501,-1.221e-07,-1e-09
0.0550550550551,-1.218e-07,-1.1e-09
0.0600600600601,-1.217e-07,-1.4e-09
0.0650650650651,-1.213e-07,-1.4e-09
0.0700700700701,-1.21e-07,-1.2e-09
0.0750750750751,-1.209e-07,-1.2e-09
0.0800800800801,-1.207e-07,-1e-09
0.0850850850851,-1.207e-07,-1.4e-09
0.0900900900901,-1.2e-07,-1.5e-09
0.0950950950951,-1.2e-07,-1.2e-09
0.1001001001,-1.201e-07,-1.9e-09
0.105105105105,-1.201e-07,-1.9e-09
0.11011011011,-1.196e-07,-1.8e-09
0.115115115115,-1.192e-07,-1.8e-09
0.12012012012,-1.191e-07,-1.9e-09
0.125125125125,-1.188e-07,-2.2e-09
0.13013013013,-1.188e-07,-2e-09
0.135135135135,-1.184e-07,-2.1e-09
0.14014014014,-1.178e-07,-2.2e-09
0.145145145145,-1.178e-07,-2.3e-09
0.15015015015,-1.173e-07,-2.3e-09
0.155155155155,-1.173e-07,-2.6e-09
0.16016016016,-1.169e-07,-2.5e-09
0.165165165165,-1.167e-07,-2.7e-09
0.17017017017,-1.159e-07,-2.9e-09
0.175175175175,-1.161e-07,-2.8e-09
0.18018018018,-1.157e-07,-3e-09
0.185185185185,-1.15e-07,-2.8e-09
0.19019019019,-1.156e-07,-3.3e-09
0.195195195195,-1.155e-07,-3.6e-09
0.2002002002,-1.15e-07,-3.5e-09
0.205205205205,-1.144e-07,-3.9e-09
0.21021021021,-1.138e-07,-4.1e-09
0.215215215215,-1.14e-07,-4.3e-09
0.22022022022,-1.142e-07,-4.7e-09
0.225225225225,-1.138e-07,-5.4e-09
0.23023023023,-1.133e-07,-5.7e-09
0.235235235235,-1.126e-07,-6.5e-09
0.24024024024,-1.125e-07,-7.1e-09
0.245245245245,-1.123e-07,-8e-09
0.25025025025,-1.115e-07,-9.3e-09
