"Ix","Iz"
1e-09,-2.32e-07
1e-09,-2.32e-07
1.05e-09,-2.32e-07
1.05e-09,-2.32e-07
1.05e-09,-2.32e-07
1.1e-09,-2.33e-07
1.1e-09,-2.33e-07
1.1e-09,-2.33e-07
1.15e-09,-2.32e-07
1.15e-09,-2.33e-07
1.2e-09,-2.33e-07
1.2e-09,-2.33e-07
1.2e-09,-2.32e-07
1.25e-09,-2.33e-07
1.25e-09,-2.33e-07
1.25e-09,-2.33e-07
1.3e-09,-2.33e-07
1.3e-09,-2.33e-07
1.35e-09,-2.33e-07
1.35e-09,-2.33e-07
1.4e-09,-2.33e-07
1.4e-09,-2.33e-07
1.45e-09,-2.33e-07
1.45e-09,-2.33e-07
1.45e-09,-2.33e-07
1.5e-09,-2.33e-07
1.5e-09,-2.33e-07
1.55e-09,-2.33e-07
1.55e-09,-2.33e-07
1.6e-09,-2.33e-07
1.6e-09,-2.34e-07
1.65e-09,-2.34e-07
1.7e-09,-2.34e-07
1.7e-09,-2.34e-07
1.75e-09,-2.34e-07
1.75e-09,-2.34e-07
1.8e-09,-2.34e-07
1.8e-09,-2.34e-07
1.85e-09,-2.34e-07
1.9e-09,-2.34e-07
1.9e-09,-2.34e-07
1.95e-09,-2.34e-07
1.95e-09,-2.34e-07
2e-09,-2.34e-07
2.05e-09,-2.34e-07
2.05e-09,-2.34e-07
2.1e-09,-2.34e-07
2.15e-09,-2.34e-07
2.15e-09,-2.34e-07
2.2e-09,-2.35e-07
2.25e-09,-2.35e-07
2.3e-09,-2.35e-07
2.3e-09,-2.35e-07
2.35e-09,-2.35e-07
2.4e-09,-2.35e-07
2.45e-09,-2.35e-07
2.45e-09,-2.35e-07
2.5e-09,-2.35e-07
2.55e-09,-2.36e-07
2.6e-09,-2.35e-07
2.65e-09,-2.35e-07
2.7e-09,-2.36e-07
2.7e-09,-2.36e-07
2.75e-09,-2.36e-07
2.8e-09,-2.35e-07
2.85e-09,-2.36e-07
2.9e-09,-2.36e-07
2.95e-09,-2.36e-07
3e-09,-2.36e-07
3.05e-09,-2.36e-07
3.1e-09,-2.37e-07
3.15e-09,-2.37e-07
3.2e-09,-2.37e-07
3.25e-09,-2.37e-07
3.3e-09,-2.37e-07
3.35e-09,-2.37e-07
3.4e-09,-2.37e-07
3.45e-09,-2.37e-07
3.5e-09,-2.37e-07
3.6e-09,-2.38e-07
3.65e-09,-2.38e-07
3.7e-09,-2.38e-07
3.75e-09,-2.38e-07
3.8e-09,-2.38e-07
3.9e-09,-2.38e-07
3.95e-09,-2.38e-07
4e-09,-2.38e-07
4.05e-09,-2.38e-07
4.15e-09,-2.39e-07
4.2e-09,-2.39e-07
4.25e-09,-2.39e-07
4.35e-09,-2.39e-07
4.4e-09,-2.39e-07
4.5e-09,-2.39e-07
4.55e-09,-2.39e-07
4.65e-09,-2.4e-07
4.7e-09,-2.4e-07
4.8e-09,-2.4e-07
4.85e-09,-2.4e-07
4.95e-09,-2.4e-07
5e-09,-2.4e-07
5.1e-09,-2.41e-07
5.2e-09,-2.41e-07
5.25e-09,-2.41e-07
5.35e-09,-2.41e-07
5.45e-09,-2.41e-07
5.55e-09,-2.42e-07
5.6e-09,-2.42e-07
5.7e-09,-2.42e-07
5.8e-09,-2.42e-07
5.9e-09,-2.43e-07
6e-09,-2.43e-07
6.1e-09,-2.43e-07
6.2e-09,-2.43e-07
6.3e-09,-2.43e-07
6.4e-09,-2.43e-07
6.5e-09,-2.43e-07
6.6e-09,-2.44e-07
6.7e-09,-2.44e-07
6.8e-09,-2.44e-07
6.95e-09,-2.44e-07
7.05e-09,-2.45e-07
7.15e-09,-2.45e-07
7.3e-09,-2.45e-07
7.4e-09,-2.45e-07
7.5e-09,-2.45e-07
7.65e-09,-2.46e-07
7.75e-09,-2.46e-07
7.9e-09,-2.46e-07
8e-09,-2.47e-07
8.15e-09,-2.47e-07
8.3e-09,-2.48e-07
8.4e-09,-2.48e-07
8.55e-09,-2.48e-07
8.7e-09,-2.48e-07
8.85e-09,-2.49e-07
8.95e-09,-2.49e-07
9.1e-09,-2.49e-07
9.25e-09,-2.49e-07
9.4e-09,-2.5e-07
9.55e-09,-2.5e-07
9.75e-09,-2.5e-07
9.9e-09,-2.5e-07
1.005e-08,-2.51e-07
1.02e-08,-2.51e-07
1.04e-08,-2.52e-07
1.055e-08,-2.52e-07
1.07e-08,-2.52e-07
1.09e-08,-2.53e-07
1.105e-08,-2.53e-07
1.125e-08,-2.53e-07
1.145e-08,-2.54e-07
1.16e-08,-2.54e-07
1.18e-08,-2.54e-07
1.2e-08,-2.54e-07
1.22e-08,-2.55e-07
1.24e-08,-2.55e-07
1.26e-08,-2.56e-07
1.28e-08,-2.56e-07
1.3e-08,-2.56e-07
1.32e-08,-2.57e-07
1.345e-08,-2.58e-07
1.365e-08,-2.58e-07
1.385e-08,-2.58e-07
1.41e-08,-2.59e-07
1.435e-08,-2.59e-07
1.455e-08,-2.59e-07
1.48e-08,-2.6e-07
1.505e-08,-2.6e-07
1.53e-08,-2.61e-07
1.555e-08,-2.62e-07
1.58e-08,-2.62e-07
1.605e-08,-2.62e-07
1.63e-08,-2.63e-07
1.655e-08,-2.63e-07
1.685e-08,-2.64e-07
1.71e-08,-2.64e-07
1.74e-08,-2.65e-07
1.765e-08,-2.65e-07
1.795e-08,-2.65e-07
1.825e-08,-2.66e-07
1.855e-08,-2.67e-07
1.885e-08,-2.67e-07
1.915e-08,-2.68e-07
1.945e-08,-2.68e-07
1.98e-08,-2.69e-07
2.01e-08,-2.7e-07
2.045e-08,-2.7e-07
2.075e-08,-2.71e-07
2.11e-08,-2.71e-07
2.145e-08,-2.72e-07
2.18e-08,-2.73e-07
2.215e-08,-2.73e-07
2.25e-08,-2.74e-07
2.285e-08,-2.75e-07
2.325e-08,-2.75e-07
2.365e-08,-2.76e-07
2.4e-08,-2.77e-07
2.44e-08,-2.77e-07
2.48e-08,-2.78e-07
2.52e-08,-2.79e-07
2.56e-08,-2.8e-07
2.605e-08,-2.8e-07
2.645e-08,-2.81e-07
2.69e-08,-2.82e-07
2.73e-08,-2.83e-07
2.775e-08,-2.83e-07
2.82e-08,-2.84e-07
2.865e-08,-2.85e-07
2.915e-08,-2.86e-07
2.96e-08,-2.86e-07
3.01e-08,-2.88e-07
3.06e-08,-2.89e-07
3.11e-08,-2.89e-07
3.16e-08,-2.9e-07
3.21e-08,-2.91e-07
3.26e-08,-2.92e-07
3.315e-08,-2.93e-07
3.37e-08,-2.94e-07
3.425e-08,-2.95e-07
3.48e-08,-2.95e-07
3.535e-08,-2.97e-07
3.595e-08,-2.97e-07
3.65e-08,-2.98e-07
3.71e-08,-3e-07
3.77e-08,-3e-07
3.835e-08,-3.02e-07
3.895e-08,-3.02e-07
3.96e-08,-3.04e-07
4.025e-08,-3.05e-07
4.09e-08,-3.06e-07
4.155e-08,-3.07e-07
4.225e-08,-3.08e-07
4.29e-08,-3.09e-07
4.36e-08,-3.1e-07
4.43e-08,-3.11e-07
4.505e-08,-3.12e-07
4.58e-08,-3.13e-07
4.65e-08,-3.15e-07
4.73e-08,-3.15e-07
4.805e-08,-3.17e-07
4.885e-08,-3.19e-07
4.96e-08,-3.2e-07
5.045e-08,-3.21e-07
5.125e-08,-3.22e-07
5.21e-08,-3.24e-07
5.295e-08,-3.25e-07
5.38e-08,-3.26e-07
5.465e-08,-3.28e-07
5.555e-08,-3.29e-07
5.645e-08,-3.31e-07
5.74e-08,-3.32e-07
5.83e-08,-3.33e-07
5.925e-08,-3.35e-07
6.025e-08,-3.36e-07
6.12e-08,-3.37e-07
6.22e-08,-3.39e-07
6.32e-08,-3.41e-07
6.425e-08,-3.42e-07
6.53e-08,-3.43e-07
6.635e-08,-3.45e-07
6.745e-08,-3.47e-07
6.85e-08,-3.48e-07
6.965e-08,-3.5e-07
7.075e-08,-3.52e-07
