"Iy","Iz"
1.93e-08,-2.02e-08
1.955e-08,-2.04e-08
1.985e-08,-2.02e-08
2.01e-08,-2.03e-08
2.04e-08,-2.02e-08
2.065e-08,-2.04e-08
2.095e-08,-2.03e-08
2.125e-08,-2.08e-08
2.155e-08,-2.08e-08
2.185e-08,-2.07e-08
2.215e-08,-2.07e-08
2.245e-08,-2.07e-08
2.275e-08,-2.07e-08
2.31e-08,-2.09e-08
2.34e-08,-2.07e-08
2.375e-08,-2.09e-08
2.405e-08,-2.08e-08
2.44e-08,-2.11e-08
2.475e-08,-2.12e-08
2.51e-08,-2.08e-08
2.545e-08,-2.11e-08
2.58e-08,-2.15e-08
2.615e-08,-2.13e-08
2.65e-08,-2.14e-08
2.69e-08,-2.15e-08
2.725e-08,-2.17e-08
2.765e-08,-2.17e-08
2.8e-08,-2.16e-08
2.84e-08,-2.14e-08
2.88e-08,-2.17e-08
2.92e-08,-2.22e-08
2.96e-08,-2.23e-08
3e-08,-2.18e-08
3.045e-08,-2.22e-08
3.085e-08,-2.24e-08
3.13e-08,-2.19e-08
3.175e-08,-2.21e-08
3.215e-08,-2.25e-08
3.26e-08,-2.27e-08
3.31e-08,-2.27e-08
3.355e-08,-2.29e-08
3.4e-08,-2.26e-08
3.45e-08,-2.29e-08
3.495e-08,-2.29e-08
3.545e-08,-2.3e-08
3.595e-08,-2.32e-08
3.645e-08,-2.33e-08
3.695e-08,-2.34e-08
3.745e-08,-2.33e-08
3.8e-08,-2.38e-08
3.85e-08,-2.36e-08
3.905e-08,-2.4e-08
3.96e-08,-2.4e-08
4.015e-08,-2.39e-08
4.07e-08,-2.4e-08
4.125e-08,-2.44e-08
4.185e-08,-2.44e-08
4.245e-08,-2.46e-08
4.3e-08,-2.43e-08
4.36e-08,-2.47e-08
4.42e-08,-2.52e-08
4.485e-08,-2.49e-08
4.545e-08,-2.5e-08
4.61e-08,-2.55e-08
4.675e-08,-2.55e-08
4.74e-08,-2.54e-08
4.805e-08,-2.6e-08
4.87e-08,-2.58e-08
4.94e-08,-2.63e-08
5.01e-08,-2.63e-08
5.08e-08,-2.64e-08
5.15e-08,-2.67e-08
5.22e-08,-2.68e-08
5.295e-08,-2.7e-08
5.365e-08,-2.72e-08
5.44e-08,-2.73e-08
5.515e-08,-2.72e-08
5.595e-08,-2.76e-08
5.67e-08,-2.82e-08
5.75e-08,-2.8e-08
5.83e-08,-2.83e-08
5.915e-08,-2.86e-08
5.995e-08,-2.86e-08
6.08e-08,-2.92e-08
6.165e-08,-2.92e-08
6.25e-08,-2.95e-08
6.335e-08,-2.97e-08
6.425e-08,-3.02e-08
6.515e-08,-3.03e-08
6.605e-08,-3.07e-08
6.695e-08,-3.04e-08
6.79e-08,-3.12e-08
6.885e-08,-3.12e-08
6.98e-08,-3.15e-08
7.075e-08,-3.19e-08
7.175e-08,-3.23e-08
7.275e-08,-3.28e-08
7.375e-08,-3.31e-08
7.48e-08,-3.3e-08
7.585e-08,-3.38e-08
7.69e-08,-3.39e-08
7.795e-08,-3.43e-08
7.905e-08,-3.46e-08
8.015e-08,-3.5e-08
8.125e-08,-3.53e-08
8.24e-08,-3.6e-08
8.355e-08,-3.63e-08
8.47e-08,-3.63e-08
8.59e-08,-3.71e-08
8.71e-08,-3.72e-08
8.83e-08,-3.78e-08
8.955e-08,-3.82e-08
9.075e-08,-3.88e-08
9.205e-08,-3.94e-08
