"Iy","Iz"
-1e-09,-9.57e-08
-1e-09,-9.55e-08
-1.05e-09,-9.51e-08
-1.05e-09,-9.49e-08
-1.05e-09,-9.44e-08
-1.1e-09,-9.46e-08
-1.1e-09,-9.46e-08
-1.1e-09,-9.51e-08
-1.15e-09,-9.52e-08
-1.15e-09,-9.52e-08
-1.2e-09,-9.55e-08
-1.2e-09,-9.59e-08
-1.2e-09,-9.57e-08
-1.25e-09,-9.59e-08
-1.25e-09,-9.58e-08
-1.25e-09,-9.59e-08
-1.3e-09,-9.57e-08
-1.3e-09,-9.54e-08
-1.35e-09,-9.57e-08
-1.35e-09,-9.57e-08
-1.4e-09,-9.62e-08
-1.4e-09,-9.62e-08
-1.45e-09,-9.64e-08
-1.45e-09,-9.65e-08
-1.45e-09,-9.64e-08
-1.5e-09,-9.68e-08
-1.5e-09,-9.71e-08
-1.55e-09,-9.7e-08
-1.55e-09,-9.72e-08
-1.6e-09,-9.72e-08
-1.6e-09,-9.74e-08
-1.65e-09,-9.77e-08
-1.7e-09,-9.77e-08
-1.7e-09,-9.81e-08
-1.75e-09,-9.82e-08
-1.75e-09,-9.83e-08
-1.8e-09,-9.83e-08
-1.8e-09,-9.84e-08
-1.85e-09,-9.85e-08
-1.9e-09,-9.88e-08
-1.9e-09,-9.91e-08
-1.95e-09,-9.93e-08
-1.95e-09,-9.93e-08
-2e-09,-9.94e-08
-2.05e-09,-9.99e-08
-2.05e-09,-9.98e-08
-2.1e-09,-1e-07
-2.15e-09,-1.003e-07
-2.15e-09,-9.99e-08
-2.2e-09,-1.001e-07
-2.25e-09,-1.004e-07
-2.3e-09,-1.008e-07
-2.3e-09,-1.007e-07
-2.35e-09,-1.008e-07
-2.4e-09,-1.015e-07
-2.45e-09,-1.015e-07
-2.45e-09,-1.017e-07
-2.5e-09,-1.02e-07
-2.55e-09,-1.021e-07
-2.6e-09,-1.025e-07
-2.65e-09,-1.028e-07
-2.7e-09,-1.031e-07
-2.7e-09,-1.03e-07
-2.75e-09,-1.03e-07
-2.8e-09,-1.035e-07
-2.85e-09,-1.039e-07
-2.9e-09,-1.041e-07
-2.95e-09,-1.044e-07
-3e-09,-1.044e-07
-3.05e-09,-1.048e-07
-3.1e-09,-1.049e-07
-3.15e-09,-1.053e-07
-3.2e-09,-1.057e-07
-3.25e-09,-1.058e-07
-3.3e-09,-1.058e-07
-3.35e-09,-1.06e-07
-3.4e-09,-1.063e-07
-3.45e-09,-1.067e-07
-3.5e-09,-1.068e-07
-3.6e-09,-1.073e-07
-3.65e-09,-1.077e-07
-3.7e-09,-1.079e-07
-3.75e-09,-1.081e-07
-3.8e-09,-1.089e-07
-3.9e-09,-1.096e-07
-3.95e-09,-1.102e-07
-4e-09,-1.101e-07
-4.05e-09,-1.107e-07
-4.15e-09,-1.105e-07
-4.2e-09,-1.114e-07
-4.25e-09,-1.118e-07
-4.35e-09,-1.121e-07
-4.4e-09,-1.121e-07
-4.5e-09,-1.127e-07
-4.55e-09,-1.128e-07
-4.65e-09,-1.133e-07
-4.7e-09,-1.138e-07
-4.8e-09,-1.144e-07
-4.85e-09,-1.145e-07
-4.95e-09,-1.149e-07
-5e-09,-1.15e-07
-5.1e-09,-1.154e-07
-5.2e-09,-1.159e-07
-5.25e-09,-1.16e-07
-5.35e-09,-1.169e-07
-5.45e-09,-1.171e-07
-5.55e-09,-1.174e-07
-5.6e-09,-1.177e-07
-5.7e-09,-1.182e-07
-5.8e-09,-1.185e-07
-5.9e-09,-1.19e-07
-6e-09,-1.193e-07
-6.1e-09,-1.197e-07
-6.2e-09,-1.202e-07
-6.3e-09,-1.207e-07
-6.4e-09,-1.213e-07
-6.5e-09,-1.214e-07
-6.6e-09,-1.221e-07
-6.7e-09,-1.222e-07
-6.8e-09,-1.225e-07
-6.95e-09,-1.231e-07
-7.05e-09,-1.238e-07
-7.15e-09,-1.244e-07
-7.3e-09,-1.245e-07
-7.4e-09,-1.25e-07
-7.5e-09,-1.253e-07
-7.65e-09,-1.261e-07
-7.75e-09,-1.267e-07
-7.9e-09,-1.268e-07
-8e-09,-1.272e-07
-8.15e-09,-1.278e-07
-8.3e-09,-1.288e-07
-8.4e-09,-1.292e-07
-8.55e-09,-1.296e-07
-8.7e-09,-1.306e-07
-8.85e-09,-1.307e-07
-8.95e-09,-1.312e-07
-9.1e-09,-1.315e-07
-9.25e-09,-1.323e-07
-9.4e-09,-1.33e-07
-9.55e-09,-1.333e-07
-9.75e-09,-1.342e-07
-9.9e-09,-1.347e-07
-1.005e-08,-1.354e-07
-1.02e-08,-1.362e-07
-1.04e-08,-1.366e-07
-1.055e-08,-1.371e-07
-1.07e-08,-1.38e-07
-1.09e-08,-1.385e-07
-1.105e-08,-1.391e-07
-1.125e-08,-1.397e-07
-1.145e-08,-1.406e-07
-1.16e-08,-1.412e-07
-1.18e-08,-1.417e-07
-1.2e-08,-1.426e-07
-1.22e-08,-1.435e-07
-1.24e-08,-1.44e-07
-1.26e-08,-1.447e-07
-1.28e-08,-1.453e-07
-1.3e-08,-1.46e-07
-1.32e-08,-1.467e-07
-1.345e-08,-1.478e-07
-1.365e-08,-1.483e-07
-1.385e-08,-1.49e-07
-1.41e-08,-1.499e-07
-1.435e-08,-1.509e-07
-1.455e-08,-1.516e-07
-1.48e-08,-1.525e-07
-1.505e-08,-1.532e-07
-1.53e-08,-1.544e-07
-1.555e-08,-1.551e-07
