"Ix","Iz"
3.88e-07,-1.507e-07
3.93e-07,-1.516e-07
3.985e-07,-1.525e-07
4.04e-07,-1.539e-07
4.1e-07,-1.548e-07
4.155e-07,-1.56e-07
4.215e-07,-1.571e-07
4.27e-07,-1.581e-07
4.33e-07,-1.595e-07
4.39e-07,-1.605e-07
4.455e-07,-1.62e-07
4.515e-07,-1.631e-07
4.58e-07,-1.645e-07
4.64e-07,-1.657e-07
4.705e-07,-1.669e-07
4.77e-07,-1.683e-07
4.84e-07,-1.696e-07
4.905e-07,-1.709e-07
4.975e-07,-1.721e-07
5.045e-07,-1.736e-07
5.115e-07,-1.749e-07
5.185e-07,-1.764e-07
5.255e-07,-1.775e-07
5.33e-07,-1.789e-07
5.405e-07,-1.802e-07
5.48e-07,-1.817e-07
5.555e-07,-1.832e-07
5.635e-07,-1.847e-07
5.71e-07,-1.862e-07
5.79e-07,-1.875e-07
5.87e-07,-1.89e-07
5.955e-07,-1.905e-07
6.035e-07,-1.919e-07
6.12e-07,-1.935e-07
6.205e-07,-1.95e-07
6.29e-07,-1.963e-07
6.38e-07,-1.984e-07
6.47e-07,-1.999e-07
6.56e-07,-2.012e-07
6.65e-07,-2.032e-07
6.745e-07,-2.041e-07
6.835e-07,-2.041e-07
6.93e-07,-2.041e-07
7.03e-07,-2.041e-07
7.125e-07,-2.041e-07
7.225e-07,-2.041e-07
7.325e-07,-2.041e-07
7.43e-07,-2.041e-07
7.53e-07,-2.041e-07
7.635e-07,-2.041e-07
7.745e-07,-2.041e-07
7.85e-07,-2.041e-07
7.96e-07,-2.041e-07
8.07e-07,-2.041e-07
8.185e-07,-2.041e-07
8.295e-07,-2.041e-07
8.41e-07,-2.041e-07
8.53e-07,-2.041e-07
8.65e-07,-2.041e-07
8.77e-07,-2.041e-07
8.89e-07,-2.041e-07
9.015e-07,-2.041e-07
9.14e-07,-2.041e-07
9.27e-07,-2.041e-07
9.395e-07,-2.041e-07
9.53e-07,-2.041e-07
9.66e-07,-2.041e-07
9.795e-07,-2.041e-07
9.93e-07,-2.041e-07
1.007e-06,-2.041e-07
1.021e-06,-2.041e-07
1.035e-06,-2.041e-07
1.0495e-06,-2.041e-07
1.064e-06,-2.041e-07
1.079e-06,-2.041e-07
1.094e-06,-2.041e-07
1.1095e-06,-2.041e-07
1.1245e-06,-2.041e-07
1.1405e-06,-2.041e-07
1.1565e-06,-2.041e-07
1.1725e-06,-2.041e-07
1.1885e-06,-2.041e-07
1.2055e-06,-2.041e-07
1.222e-06,-2.041e-07
1.239e-06,-2.041e-07
1.2565e-06,-2.041e-07
1.274e-06,-2.041e-07
1.2915e-06,-2.041e-07
1.3095e-06,-2.041e-07
1.328e-06,-2.041e-07
1.3465e-06,-2.041e-07
1.365e-06,-2.041e-07
1.384e-06,-2.041e-07
1.4035e-06,-2.041e-07
1.423e-06,-2.041e-07
1.4425e-06,-2.041e-07
1.4625e-06,-2.041e-07
1.483e-06,-2.041e-07
1.504e-06,-2.041e-07
1.5245e-06,-2.041e-07
1.546e-06,-2.041e-07
1.5675e-06,-2.041e-07
1.5895e-06,-2.041e-07
1.6115e-06,-2.041e-07
1.634e-06,-2.041e-07
1.6565e-06,-2.041e-07
1.6795e-06,-2.041e-07
1.703e-06,-2.041e-07
1.727e-06,-2.041e-07
1.751e-06,-2.041e-07
1.775e-06,-2.041e-07
1.8e-06,-2.041e-07
1.825e-06,-2.041e-07
1.8505e-06,-2.041e-07
1.876e-06,-2.041e-07
1.9025e-06,-2.041e-07
1.929e-06,-2.041e-07
1.9555e-06,-2.041e-07
1.983e-06,-2.041e-07
2.01e-06,-2.041e-07
2.04e-06,-2.041e-07
2.065e-06,-2.041e-07
2.095e-06,-2.041e-07
2.125e-06,-2.041e-07
2.155e-06,-2.041e-07
2.185e-06,-2.041e-07
2.215e-06,-2.041e-07
2.245e-06,-2.041e-07
2.275e-06,-2.041e-07
2.31e-06,-2.041e-07
2.34e-06,-2.041e-07
2.375e-06,-2.041e-07
2.405e-06,-2.041e-07
2.44e-06,-2.041e-07
2.475e-06,-2.041e-07
2.51e-06,-2.041e-07
2.545e-06,-2.041e-07
2.58e-06,-2.041e-07
2.615e-06,-2.041e-07
