"Ix","Iz"
4.675e-08,-8.39e-08
4.74e-08,-8.4e-08
4.805e-08,-8.45e-08
4.87e-08,-8.46e-08
4.94e-08,-8.51e-08
5.01e-08,-8.53e-08
5.08e-08,-8.6e-08
5.15e-08,-8.61e-08
5.22e-08,-8.64e-08
5.295e-08,-8.67e-08
5.365e-08,-8.72e-08
5.44e-08,-8.76e-08
5.515e-08,-8.77e-08
5.595e-08,-8.85e-08
5.67e-08,-8.86e-08
5.75e-08,-8.92e-08
5.83e-08,-8.94e-08
5.915e-08,-8.97e-08
5.995e-08,-9e-08
6.08e-08,-9.05e-08
6.165e-08,-9.07e-08
6.25e-08,-9.17e-08
6.335e-08,-9.16e-08
6.425e-08,-9.21e-08
6.515e-08,-9.24e-08
6.605e-08,-9.3e-08
6.695e-08,-9.33e-08
6.79e-08,-9.35e-08
6.885e-08,-9.4e-08
6.98e-08,-9.43e-08
7.075e-08,-9.52e-08
7.175e-08,-9.55e-08
7.275e-08,-9.57e-08
7.375e-08,-9.62e-08
7.48e-08,-9.66e-08
7.585e-08,-9.69e-08
7.69e-08,-9.75e-08
7.795e-08,-9.8e-08
7.905e-08,-9.83e-08
8.015e-08,-9.88e-08
8.125e-08,-9.97e-08
8.24e-08,-1.001e-07
8.355e-08,-1.003e-07
8.47e-08,-1.009e-07
8.59e-08,-1.011e-07
8.71e-08,-1.019e-07
8.83e-08,-1.027e-07
8.955e-08,-1.027e-07
9.075e-08,-1.036e-07
9.205e-08,-1.041e-07
9.33e-08,-1.044e-07
9.46e-08,-1.048e-07
9.595e-08,-1.053e-07
9.725e-08,-1.064e-07
9.865e-08,-1.067e-07
1e-07,-1.07e-07
1.014e-07,-1.077e-07
1.028e-07,-1.084e-07
1.0425e-07,-1.087e-07
1.057e-07,-1.095e-07
1.0715e-07,-1.098e-07
1.0865e-07,-1.106e-07
1.1015e-07,-1.112e-07
1.117e-07,-1.117e-07
1.1325e-07,-1.123e-07
1.1485e-07,-1.131e-07
1.1645e-07,-1.137e-07
1.1805e-07,-1.143e-07
1.197e-07,-1.151e-07
1.2135e-07,-1.156e-07
1.2305e-07,-1.164e-07
1.2475e-07,-1.167e-07
1.265e-07,-1.178e-07
1.2825e-07,-1.181e-07
1.3005e-07,-1.191e-07
1.3185e-07,-1.195e-07
1.337e-07,-1.201e-07
1.3555e-07,-1.21e-07
1.3745e-07,-1.216e-07
1.3935e-07,-1.224e-07
1.413e-07,-1.23e-07
1.4325e-07,-1.236e-07
1.4525e-07,-1.243e-07
1.473e-07,-1.253e-07
1.4935e-07,-1.261e-07
1.514e-07,-1.264e-07
1.5355e-07,-1.275e-07
1.5565e-07,-1.282e-07
1.5785e-07,-1.29e-07
1.6005e-07,-1.298e-07
1.6225e-07,-1.309e-07
1.645e-07,-1.312e-07
1.668e-07,-1.321e-07
1.6915e-07,-1.331e-07
1.715e-07,-1.336e-07
1.739e-07,-1.347e-07
1.763e-07,-1.355e-07
1.7875e-07,-1.361e-07
1.8125e-07,-1.373e-07
1.8375e-07,-1.38e-07
1.863e-07,-1.388e-07
1.889e-07,-1.397e-07
1.9155e-07,-1.405e-07
1.942e-07,-1.416e-07
1.969e-07,-1.422e-07
1.9965e-07,-1.431e-07
2.025e-07,-1.439e-07
2.055e-07,-1.448e-07
2.08e-07,-1.456e-07
2.11e-07,-1.466e-07
2.14e-07,-1.476e-07
2.17e-07,-1.488e-07
2.2e-07,-1.494e-07
2.23e-07,-1.505e-07
2.26e-07,-1.514e-07
2.295e-07,-1.527e-07
2.325e-07,-1.538e-07
2.355e-07,-1.544e-07
2.39e-07,-1.555e-07
2.425e-07,-1.567e-07
2.455e-07,-1.577e-07
2.49e-07,-1.588e-07
2.525e-07,-1.597e-07
2.56e-07,-1.609e-07
2.595e-07,-1.621e-07
2.635e-07,-1.628e-07
2.67e-07,-1.641e-07
2.705e-07,-1.648e-07
2.745e-07,-1.662e-07
2.785e-07,-1.673e-07
2.82e-07,-1.682e-07
2.86e-07,-1.697e-07
2.9e-07,-1.707e-07
2.94e-07,-1.718e-07
2.98e-07,-1.73e-07
3.025e-07,-1.743e-07
3.065e-07,-1.755e-07
3.11e-07,-1.765e-07
3.15e-07,-1.775e-07
3.195e-07,-1.79e-07
3.24e-07,-1.8e-07
3.285e-07,-1.817e-07
3.33e-07,-1.828e-07
3.375e-07,-1.841e-07
3.425e-07,-1.857e-07
3.47e-07,-1.868e-07
3.52e-07,-1.881e-07
3.57e-07,-1.895e-07
3.62e-07,-1.909e-07
3.67e-07,-1.919e-07
3.72e-07,-1.933e-07
3.77e-07,-1.948e-07
3.825e-07,-1.96e-07
3.88e-07,-1.976e-07
3.93e-07,-1.988e-07
3.985e-07,-2.006e-07
4.04e-07,-2.016e-07
4.1e-07,-2.035e-07
4.155e-07,-2.041e-07
4.215e-07,-2.041e-07
4.27e-07,-2.041e-07
4.33e-07,-2.041e-07
4.39e-07,-2.041e-07
4.455e-07,-2.041e-07
4.515e-07,-2.041e-07
4.58e-07,-2.041e-07
4.64e-07,-2.041e-07
4.705e-07,-2.041e-07
4.77e-07,-2.041e-07
4.84e-07,-2.041e-07
4.905e-07,-2.041e-07
4.975e-07,-2.041e-07
5.045e-07,-2.041e-07
5.115e-07,-2.041e-07
5.185e-07,-2.041e-07
5.255e-07,-2.041e-07
5.33e-07,-2.041e-07
5.405e-07,-2.041e-07
5.48e-07,-2.041e-07
5.555e-07,-2.041e-07
5.635e-07,-2.041e-07
5.71e-07,-2.041e-07
5.79e-07,-2.041e-07
5.87e-07,-2.041e-07
5.955e-07,-2.041e-07
6.035e-07,-2.041e-07
6.12e-07,-2.041e-07
6.205e-07,-2.041e-07
6.29e-07,-2.041e-07
6.38e-07,-2.041e-07
6.47e-07,-2.041e-07
6.56e-07,-2.041e-07
6.65e-07,-2.041e-07
6.745e-07,-2.041e-07
6.835e-07,-2.041e-07
6.93e-07,-2.041e-07
7.03e-07,-2.041e-07
7.125e-07,-2.041e-07
7.225e-07,-2.041e-07
7.325e-07,-2.041e-07
7.43e-07,-2.041e-07
7.53e-07,-2.041e-07
7.635e-07,-2.041e-07
7.745e-07,-2.041e-07
7.85e-07,-2.041e-07
7.96e-07,-2.041e-07
8.07e-07,-2.041e-07
8.185e-07,-2.041e-07
8.295e-07,-2.041e-07
8.41e-07,-2.041e-07
8.53e-07,-2.041e-07
8.65e-07,-2.041e-07
8.77e-07,-2.041e-07
8.89e-07,-2.041e-07
9.015e-07,-2.041e-07
9.14e-07,-2.041e-07
9.27e-07,-2.041e-07
9.395e-07,-2.041e-07
9.53e-07,-2.041e-07
9.66e-07,-2.041e-07
9.795e-07,-2.041e-07
9.93e-07,-2.041e-07
1.007e-06,-2.041e-07
1.021e-06,-2.041e-07
1.035e-06,-2.041e-07
1.0495e-06,-2.041e-07
1.064e-06,-2.041e-07
1.079e-06,-2.041e-07
1.094e-06,-2.041e-07
1.1095e-06,-2.041e-07
1.1245e-06,-2.041e-07
1.1405e-06,-2.041e-07
1.1565e-06,-2.041e-07
1.1725e-06,-2.041e-07
1.1885e-06,-2.041e-07
1.2055e-06,-2.041e-07
1.222e-06,-2.041e-07
1.239e-06,-2.041e-07
1.2565e-06,-2.041e-07
1.274e-06,-2.041e-07
1.2915e-06,-2.041e-07
1.3095e-06,-2.041e-07
1.328e-06,-2.041e-07
1.3465e-06,-2.041e-07
1.365e-06,-2.041e-07
1.384e-06,-2.041e-07
1.4035e-06,-2.041e-07
1.423e-06,-2.041e-07
1.4425e-06,-2.041e-07
1.4625e-06,-2.041e-07
1.483e-06,-2.041e-07
1.504e-06,-2.041e-07
1.5245e-06,-2.041e-07
1.546e-06,-2.041e-07
1.5675e-06,-2.041e-07
1.5895e-06,-2.041e-07
1.6115e-06,-2.041e-07
1.634e-06,-2.041e-07
1.6565e-06,-2.041e-07
1.6795e-06,-2.041e-07
1.703e-06,-2.041e-07
1.727e-06,-2.041e-07
1.751e-06,-2.041e-07
1.775e-06,-2.041e-07
1.8e-06,-2.041e-07
1.825e-06,-2.041e-07
1.8505e-06,-2.041e-07
1.876e-06,-2.041e-07
1.9025e-06,-2.041e-07
1.929e-06,-2.041e-07
1.9555e-06,-2.041e-07
1.983e-06,-2.041e-07
2.01e-06,-2.041e-07
2.04e-06,-2.041e-07
2.065e-06,-2.041e-07
2.095e-06,-2.041e-07
2.125e-06,-2.041e-07
2.155e-06,-2.041e-07
2.185e-06,-2.041e-07
2.215e-06,-2.041e-07
2.245e-06,-2.041e-07
2.275e-06,-2.041e-07
2.31e-06,-2.041e-07
2.34e-06,-2.041e-07
2.375e-06,-2.041e-07
2.405e-06,-2.041e-07
2.44e-06,-2.041e-07
2.475e-06,-2.041e-07
2.51e-06,-2.041e-07
2.545e-06,-2.041e-07
2.58e-06,-2.041e-07
2.615e-06,-2.041e-07
2.65e-06,-2.041e-07
2.69e-06,-2.041e-07
2.725e-06,-2.041e-07
2.765e-06,-2.041e-07
2.8e-06,-2.041e-07
2.84e-06,-2.041e-07
2.88e-06,-2.041e-07
2.92e-06,-2.041e-07
2.96e-06,-2.041e-07
3e-06,-2.041e-07
3.045e-06,-2.041e-07
3.085e-06,-2.041e-07
3.13e-06,-2.041e-07
3.175e-06,-2.041e-07
3.215e-06,-2.041e-07
3.26e-06,-2.041e-07
3.31e-06,-2.041e-07
3.355e-06,-2.041e-07
3.4e-06,-2.041e-07
3.45e-06,-2.041e-07
